,judul,tanggal_berita,paragraf,tanggal_scraped
61,5 Pertimbangan Finansial sebelum Memutuskan Punya Anak Lagi,"26/08/2017, 13:00 WIB","- Membesarkan  anak di era milenial yang semakin terdigitalisasi ini diakui lebih banyak tantangan dibandingkan zaman sebelumnya.
Banjir informasi dan godaan konsumerisme menuntut para orangtua untuk lebih waspada dalam menjaga buah hatinya. Inilah salah satu hal yang membuat para orangtua zaman sekarang banyak yang berpikir ulang ketika hendak memiliki anak lebih banyak. 
Saat ini, jarang kita temui keluarga muda yang memiliki anak lebih dari tiga. Bandingkan dengan zaman dahulu ketika orang memiliki anak sampai 5 anak bahkan 10 anak.
Nah, selain ada tantangan dari sisi penjagaan dan pendidikan si buah hati, ada pula tantangan tidak kecil dari sisi finansial.
Bila Anda saat ini tengah menimbang untuk menambah anak lagi, berikut ini beberapa pertimbangan finansial yang perlu Anda perhatikan:

Biaya sekolah di Indonesia untuk jenis pendidikan yang berkualitas, diakui atau tidak, masih terbilang mahal. Laju inflasi  biaya pendidikan saat ini masih di atas 10 persen. Bila Anda hendak menambah anak lagi, pastikan Anda menghitung pula kesiapan membiayai pendidikan anak di masa mendatang. Jangan sampai terjadi anak Anda tidak mendapatkan pendidikan terbaik yang berhak dia dapatkan.

Semenjak di dalam perut si ibu, sudah ada berderet kebutuhan kesehatan yang perlu dipenuhi. Biaya memeriksakan kandungan ke dokter setiap bulan sampai biaya kelahiran kelak. Begitu lahir, sudah menanti biaya vaksinasi yang tidak murah, juga pemeriksaan kesehatan rutin yang juga perlu dipenuhi.
Upaya antisipatif agar anak tidak mudah sakit juga butuh biaya, misalnya dari sisi asupan makanan perlu pemenuhan bahan makanan yang sehat dan berkualitas.",2019-08-31
62,"Kata Ridwan Kamil, Terjun ke Dunia Politik Harus Mapan Finansial Dulu","28/10/2017, 08:31 WIB","– Wali Kota Bandung  Ridwan Kamil punya pandangan sendiri tentang waktu yang tepat untuk masuk di dunia politik. Masuk politik, kata dia, diperlukan ketika kehidupan seorang sudah mandiri, dan tidak sedang mencari nafkah.  Hal itu disampaikan di depan mahasiswa dan dosen Universitas Diponegoro Semarang, saat ia mengisi kuliah umum, Jumat (27/10/2017) kemarin. “Hidup mandiri dulu sebelum menjabat jabatan (politis). Karena jabatan tidak untuk cari nafkah,” kata pria yang disapa Emil ini. Emil menceritakan pengalaman dirinya masuk di dunia politik. Ia masuk ketika kehidupannya secara ekonomi sudah kuat. 

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-5112'); });
        

 “Saya masuk politik usia 42 tahun, dari dulu mengajar dan jadi enterpreneur. Kalau saya pensiun (jadi wali kota), kantor saya masih tunggu, sehingga tidak terkait isu finansial,” tambahnya.
 “Kalau terjun politik saran saya mandiri dulu dari segi ekonomi,” pinta bakal calon gubernur Jabar ini. Dunia politik, sambung dia, penting karena dapat mengurus hajat hidup orang banyak. Politik yang mulia penting agar dapat menyelesaikan sejumlah persoalan. “Politik itu mulia, politik untuk mengejar agar mereka tidak stres, agar yang miskin tidak diusir dari rumah sakit, itu ruang politik. Itu semua urusan yang diselesaikan dan harus dinikmati,” tambahnya.
 “Kalau mencintai itu capek badan itu akan hilang, saya doakan alumni Undip masuk politik dengan mengejar cita lebih baik. Membuat keputusan yang mengubah dunia,” paparnya lagi. Emil juga menyinggung citra politik saat ini yang banyak dipenuhi kasus dengan operasi tangkap tangan korupsi. Menurut dia, perlu orang baik yang terjun ke politik agar politik tidak distigmakan selalu negatif. “Saya berharap banyak akademisi dari Undip ikuti jejak saya. Bu Risma kan juga arsitek, Makasar juga sama. Insinyur dari pemimpin daerah itu solusi, dilihat prosesnya, bukan hasilnya,” tambahnya.",2019-08-31
63,6 Kesalahan Finansial yang Sering Terjadi Saat Umur 30,"27/10/2017, 19:30 WIB","- Anda baru saja memasuki kepala tiga alias memasuki usia 30 tahun? Jangan dulu merasa tua.
Usia 30-an justru merupakan usia yang paling menyenangkan. Pada usia kepala tiga, seseorang biasanya tengah memantapkan karirnya sehingga semakin dekat ke posisi puncak.
Di usia 30-an, banyak orang yang memutuskan untuk menikah dan membangun keluarga sendiri.
Dalam tahapan kehidupan finansial, usia 30-an menjadi usia di mana seseorang tengah getol-getolnya mengakumulasi kekayaan karena tengah berada di puncak usia produktif.
(Baca: Awas! Mengelola Keuangan Secara ""Multitasking"" Bisa Merugikan)
Namun, di usia 30-an ini pula pengeluaran finansial mulai terasa lebih banyak ketimbang era umur 20-an.
Beban cicilan rumah, cicilan mobil, pengeluaran untuk rumahtangga, anak-anak, dan lain sebagainya, mulai memakan banyak ruang anggaran Anda.
Hindari 7 kesalahan finansial ini agar kelak saat memasuki usia 40-an, masalah  keuangan tidak lagi menjadi momok kehidupan Anda.

Kartu kredit bisa memberi banyak keuntungan bila Anda bijak memakainya. Kebiasaan membayar tagihan kartu kredit hanya di angka minimal hanya akan menjebak Anda dalam persoalan utang yang pelik.",2019-08-31
64,Meikarta Kota dengan Pusat Bisnis dan Finansial Terbesar di Indonesia,"20/09/2017, 18:28 WIB","Kota mandiri Meikarta berada di lokasi yang sangat strategis. Sebab Meikarta terletak di jantung ekonomi Indonesia di koridor Jakarta-Bandung, yang dikelilingi beberapa kota baru, seperti Lippo Cikarang, Jababeka, dan MM2100.
“Kawasan ini merupakan pusat industrialisasi Indonesia yang setiap tahun memproduksi lebih dari satu juta mobil, sepuluh juta motor, serta jutaan kulkas, TV, dan alat-alat rumah tangga,” kata Presiden Meikarta Ketut Budi Wijaya di Menara Matahari, Jumat (15/9/2017).
Didukung ratusan ribu staf dan karyawan kantor serta jutaan pekerja, ribuan perusahaan raksasa nasional dan multinasional membangun pabrik dan basis bisnisnya di koridor itu.Perusahaan tersebut, antara lain, Astra, Honda, Toyota, Suzuki, Mitsubishi, Isuzu, Panasonic, Toshiba, Hankook, dan Samsung.
 
Cikarang dan sekitarnya berpotensi nyata menjadi kota terpenting di Indonesia dan pusat industri manufaktur negeri ini.
Letaknya yang strategis dan diprediksi menjadi kota bisnis maju membuat harga tanah di Cikarang melonjak menjadi Rp 50 juta per meter.
Bahkan, pemerintah Indonesia pun sudah mulai bergerak cepat membangun beberapa infrastruktur penting di kawasan tersebut.
KOMPAS.com /  ANDREAS LUKAS ALTOBELI Foto udara proyek kawasan Kota Baru Meikarta, Cikarang, Bekasi, Jawa Barat, Senin (4/9/2017). Pada tahap pertama, akan dibangun 200 ribu unit apartemen yang siap huni pada akhir tahun 2018.
Infrastruktur yang tengah dikerjakan seperti Bandara Kertajati di Majalengka, Pelabuhan Patimban di Subang, railway Cikarang-Tanjung Priok, high speed railway Jakarta-Cikarang, serta railway Jakarta-Bandung yang melewati Cikarang.
Demi mewujudkan rencana membangun kota mandiri Meikarta, Lippo juga akan menarik investor asing asal Korea Selatan, Tiongkok, Taiwan, Singapura, Timur Tengah, dan Eropa.
KOMPAS.com / RODERICK ADRIAN MOZES Foto udara proyek kawasan Kota Baru Meikarta, Cikarang, Bekasi, Jawa Barat, Senin (4/9/2017). Pada tahap pertama, akan dibangun 200 ribu unit apartemen yang siap huni pada akhir tahun 2018.
Saat ini, beberapa proyek di Central Business District (CBD) Meikarta dikerjakan secara joint venture dengan investor Jepang, seperti Mitsubishi dan Toyota.
Konsep kota dengan yang lengkap dengan pusat bisnis dan finansial di Meikarta merujuk pada Financial Center di Manhattan Amerika, namun dengan skala lebih besar.",2019-08-31
65,Mendirikan Startup Butuh Bekal Aspek Finansial Berikut Ini,"13/09/2017, 12:00 WIB","- Semakin berkembangnya teknologi yang ada, membuat banyak bisnis bisnis information technology (IT) yang berkembang saat ini. Banyak masyarakat modern saat ini membuat  startup sebagai usahanya.
Namun menjalankan startup, tentunya banyak hal yang harus diperhatikan. Menurut Filbert Tsai yang dikutip dalam Tech in Asia, menyatakan bahwa kinerja merupakan bagian tubuh bisnis, strategi merupakan penggerak (otak), sedangkan finansial merupakan nyawa dari bisnis yang dijalankan. 
Kebanyakan orang menganggap jika perusahaan startup lebih membutuhkan kinerja dan strategi, sehingga banyak orang yang kurang terlalu mengerti mengenai masalah finansial.
Padahal, finansial menjadi hal yang cukup penting di dalam sebuah perusahaan. Bahkan, masalah finansial bisa menjadi hal yang paling memengaruhi jalannya bisnis Anda.
Oleh sebab itu, finansial perlu dipelajari mulai dari awal pembangunan bisnis. Berikut ini beberapa aspek finansial yang harus dikuasai ketika Anda ingin menjalankan bisnis startup.

Salah satu hal yang harus dikuasai dalam bidang finansial ketika Anda akan menjalankan bisnis startup adalah mengenai ramalan finansial.
Hal ini cukup penting di dalam menjalankan bisnis startup; yang mana Anda akan berasumsi mengenai bagaimana jalannya bisnis yang dijalankan berdasarkan dari berbagai kasus yang ada.
Dalam hal ini, Anda membutuhkan analisis yang tepat serta kepekaan yang mendalam mengenai perubahan yang terjadi.
Rencana-rencana yang akan dijalankan harus dievaluasi dengan sebaik mungkin dalam waktu yang berkala, apakah hal tersebut baik atau tidak untuk kondisi finansial perusahaan Anda.",2019-08-31
66,"""Rumah Sakit Tak Boleh Hanya Berorientasi Keuntungan Finansial""","11/09/2017, 08:11 WIB","- Wakil Ketua Komisi IX DPR Saleh Daulay Partoanan mengaku prihatin atas musibah yang dialami bayi Tiara  Debora yang meninggal setelah tidak mendapat perawatan optimal dari rumah sakit karena masalah biaya.
Menurut Saleh, kejadian seperti ini tidak semestinya terjadi di tengah keseriusan pemerintah mengejar target implementasi universal health coverage (UHC) agar masyarakat dipastikan memperoleh akses yang adil terhadap pelayanan kesehatan bermutu dengan harga terjangkau.
Ia menilai dengan adanya kejadian seperti ini, maka UHC yang digaung pemerintah akan sulit tercapai.
""Harus ada keseriusan dan keikhlasan semua pihak untuk berpartisipasi. Termasuk rumah-rumah sakit swasta yang belum bekerja sama dengan BPJS Kesehatan"" kata Saleh melalui pesan singkat, Minggu (10/9/2017) malam.

            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-5112'); });
        


(Baca juga: Bayi Debora dan Dugaan Pelayanan Rumah Sakit yang Buruk)
Saleh menambahkan, rumah sakit swasta memang memiliki aturan administratif dan sistem pembiayaan sendiri. Namun, mereka juga diharapkan dapat memberikan pengecualian pada kasus tertentu.
Sebab, hakikat dari pelayanan kesehatan adalah pelayanan kemanusiaan.
""Jadi, rumah-rumah sakit tidak boleh hanya berorientasi keuntungan finansial dan mengabaikan aspek sosial dan kemanusiaan. Bersedia membuka rumah sakit, tentu harus bersedia pula mengabdi pada kepentingan sosial dan kemanusian."" ujar Saleh.
Dalam konteks ini, ia meminta Kementerian Kesehatan melakukan investigasi serius agar kejadian serupa tidak terulang.
Saleh menyatakan, investigasi bisa melibatkan perkumpulan rumah sakit yang ada. Jika ditemukan kesalahan dalam prosedur pelayanan, Kementerian Kesehatan harus menjatuhkan sanksi tegas.
Ia pun mengatakan, pemerintah perlu membuat aturan khusus terkait pelayanan kesehatan di rumah sakit. Dengan demikian, rumah sakit tidak bisa begitu saja menolak pasien yang tidak memiliki cukup biaya.
Terlebih, pasien tersebut memiliki kartu BPJS kesehatan yang perlindungan kesehatannya dijamin oleh negara.
""Kalau membaca ceritanya, ini kan situasinya darurat. Mestinya ada pengecualian dalam situasi seperti ini,"" ujar Saleh.
Selain itu, ia juga mendesak BPJS Kesehatan untuk memperluas kerja sama dengan rumah sakit yang ada. Dengan demikian masyarakat dapat menjangkaunya dengan mudah.
Apalagi, tutur Saleh, kepesertaan BPJS Kesehatan dari tahun ke tahun semakin meningkat. Tentu dibutuhkan jaringan pelayanan kesehatan yang semakin luas.",2019-08-31
67,,,,
68,Wamenkeu Dorong Perbankan Sekuritisasi KPR,"07/09/2017, 17:30 WIB","- Wakil Menteri Keuangan (Wamenkeu) Mardiasmo melihat, sektor perbankan masih ragu melakukan sekuritisasi aset Kredit Pemilikan Rumah ( KPR). Padahal, sekuritisasi sektor tersebut, kususnya bagi perumahan kelas menengah ke atas memiliki risiko kecil.
""Kalau yang sifatnya umum (non-MBR), seharusnya sudah bisa disekuritisasi lewat pasar modal. Yang membeli nanti pasar modal kan tidak hanya orang tertentu. Kita ingin inclusiveness, bukan exclusive lagi,"" kata Mardiasmo usai kegiatan 4th Asian Fixed Income Summit (AFIS) 2017 di Nusa Dua, Bali, Kamis (7/9/2017).
Dengan sekuritisasi, Mardiasmo mengatakan, perbankan sebenarnya bisa mendapatkan keuntungan.
Pasalnya, sekuritisasi bisa mendatangkan uang segar bagi perbankan, yang dapat diputar kembali untuk disalurkan lagi ke dalam kredit perumahan lainnya.
Terlebih, saat ini angka kebutuhan rumah atau backlog  masih cukup tinggi, yaitu mencapai 11,4 juta unit. 
""Pak Presiden juga berharap dengan cara seperti itu, kita bisa mendapatkan dana lagi, dana segar, untuk kemudian diputar lagi. Karena backlog-nya masih cukup besar,"" kata Mardiasmo.
Selain mendorong sektor perbankan, dia juga meminta para pengembang jbekerja ekstra dalam memastikan ketersediaan pasokan rumah.
Pemerintah sejauh ini telah mencanangkan Program Nasional Pembangunan Sejuta Rumah untuk mengejar angka backlog. Namun realisasi di lapangan, banyak pengembang daerah yang tak dapat memenuhi pasokan rumah.
""Ini harus didorong supaya dipercepat. Kalau melihat jumlah penduduk Indonesia, ini harus dikejar,"" kata Mardiasmo.",2019-08-31
69,5 Ide Resolusi Finansial yang Perlu Anda Ambil Tahun 2018,"16/12/2017, 12:00 WIB","- Tahun 2018 tinggal hitungan pekan, apakah Anda sudah memiliki resolusi keuangan yang perlu dikejar tahun depan?
Memiliki resolusi bisa membantu Anda supaya perjalanan  finansial di masa mendatang tetap terarah. Dengan memiliki resolusi keuangan, Anda bisa terpacu untuk mengelola keuangan lebih baik. Karena hampir semua aspek hidup terhubung dengan masalah finansial. 
Misalnya, Anda berencana menikah tahun depan dengan pasangan Anda sekarang, sudah pasti rencana itu membutuhkan dana atau biaya. Atau, Anda ingin memiliki rumah tahun depan, Anda perlu menyiapkan pendanaannya agar bisa terwujud. 
Berikut iini 5 keputusan finansial yang bisa Anda masukkan dalam daftar resolusi keuangan Anda untuk tahun 2018:

Anda sudah menikah dan memiliki anak, tapi belum punya asuransi jiwa? Jangan lagi menunda. Semakin awal Anda membeli asuransi jiwa sebagai manajemen pengelolaan risiko keuangan, akan semakin baik.
Selain itu, harga premi asuransi jiwa akan semakin mahal bila usia si tertanggung semakin tua. Pilih asuransi jiwa berjangka yang paling sesuai kebutuhan Anda dengan begitu Anda bisa optimal berkonsentrasi untuk tujuan keuangan lain.

Rumah adalah salah satu kebutuhan pokok di mana harganya sulit menurun. Semakin Anda menunda pembelian rumah, semakin besar biaya yang harus Anda tanggung untuk menutup kebutuhan tempat tinggal. Biaya bisa berupa uang sewa kontrakan dan kerugian berupa nilai uang karena harga rumah terus naik sedang penghasilan Anda sulit mengejar kenaikan tersebut.
Jadi, mengapa tidak menargetkan pembelian rumah tahun 2018? Anda cukup fokus mengumpulkan kebutuhan uang muka agar lebih cepat memiliki rumah. Manfaatkan saja kredit pemilikan rumah agar beban pembelian rumah bisa lebih ringan.",2019-08-31
70,SMF Suntik 3 BPD Rp 338 Miliar,"21/11/2017, 21:00 WIB","PT  Sarana Multigriya Finansial (Persero) atau  SMF melakukan penandatangan penjanjian kerja sama refinancing Kredit Pemilikan Rumah (KPR) dengan 3 Bank Pembangunan Daerah ( BPD), yaitu BPD Bali, Bank Sumut, dan Bank Sumsel Babel di Makassar, Selasa (21/11/2017). Dalam tiga kerja sama tersebut SMF mengalirkan pembiayaan ke sektor perumahan senilai Rp 338 miliar. Rinciananya, Rp 156 miliar dikucurkan ke Bank Sumatera Utara, Rp 150 miliar ke Bank Sumsel Babel, dan Rp 32 miliar ke BPD Bali.Direktur Utama SMF Ananta Wiyogo menjelaskan, kerja sama ini dilakukan untuk mendukung Program Satu Juta Rumah, melalui penyaluran pinjaman agar menambah perluasan jangkauan pembiayaan rumah di seluruh Indonesia. “SMF merespon atas meningkatnya demand rumah yang layak huni, serta dukungan terhadap Program Satu Juta Rumah yang memerlukan dana besar,” ujar Ananta melalui keterangan tertulis yang diterima KompasProperti.Kerja sama ini merupakan bagian dari rangkaian acara Gathering BPD yang diselenggarakan oleh SMF, bekerjasama dengan dengan Otoritas Jasa Keuangan (OJK), Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR), Asosiasi Bank Pembangunan Daerah (Asbanda), dan Asosiasi Pemerintahan Provinsi Seluruh Indonesia (APPSI). Ananta mengatakan, peran BPD sangat sentral dalam meningkatkan perekonomian daerah yang secara simultan akan mendukung pertumbuhan Ekonomi Nasional. Untuk meningkatkan kemampuan masyarakat dalam memiliki rumah, diperlukan fasilitas KPR yang terjangkau dan mudah diakses.Tingginya kebutuhan akan perumahan merupakan pangsa pasar yang besar bagi BPD, khususnya dalam memfasilitasi masyarakat yang membutuhkan hunian yang layak, utamanya bagi masyarakat berpenghasilan rendah (MBR). BPD dapat mengoptimalkan potensi pembiayaan dalam wilayah kerjanya masing-masing. Dalam upaya tersebut, SMF akan mendukung melalui program peningkatan kapasitas penyaluran KPR. Tujuannya, untuk mendorong BPD yang belum menjalankan bisnis KPR dan atau masih tergolong rendah dalam menyalurkan KPR.“Kami optimis dengan adanya sinergi yang kuat diantara kita, Program  Sejuta Rumah Pemerintah dapat tercapai dan memberikan kontribusi luar biasa bagi perekonomian Indonesia,” ungkap Ananta.",2019-08-31
71,"Bukan Selingkuh, Ternyata Bertengkar soal Uang Lebih Merusak Hubungan","09/11/2017, 20:42 WIB","- Setiap hubungan pasti memiliki fase naik turun. Anda memang perlu waspada terhadap tanda-tanda bahwa hubungan Anda tidak sehat, tetapi pertengkaran sesekali tidak perlu terlalu Anda pikirkan. Hal itu malah bisa menjadi bumbu dalam hubungan.
Meski demikian, ada satu kebohongan utama yang bisa menyebabkan rusaknya hubungan Anda. Kebohongan seperti inilah yang harus dihindari.
Menurut Cary Carbonaro, Managing Director The Wealth Management firm United Capital, kebohongan tentang keuangan atau berbohong pada pasangan tentang uang adalah racun bagi sebuah hubungan.
""Uang adalah tes lakmus bagi hubungan. Jika Anda memiliki masalah keuangan, maka hubungan Anda juga akan bermasalah. Hal ini terutama terjadi saat salah satu menyembunyikan utang atau rekening bank,"" papar Carbonaro.
Kebohongan semacam ini kerap terjadi. Menurut sebuah survei tahun 2016, 42 persen pasangan melakukan kebohongan perihal  finansial. 
Baca juga :Panggilan Sayang Bisa Bantu Selesaikan Pertengkaran
Survei yang dilakukan oleh creditcards.com menemukan bahwa 12 juta orang Amerika memiliki rekening bank rahasia atau kartu kredit yang mereka sembunyikan dari pasangan mereka.
Uang memang menjadi penyebab normal bagi pertengkaran antar pasangan, bahkan dalam pasangan yang saling mencintai sekali pun. Karenanya, jangan sampai masalah ini merusak hubungan Anda. 
Mulailah terbuka membicarakan masalah keuangan sejak masih berpacaran. Dari interaksi sehari-hari sebenarnya kita juga dapat mengetahui karakter pasangan terhadap uang dan mengukur apakah tidak terlalu bertolak belakang dengan kebiasaan Anda.
Misalnya Anda orang yang teratur dan selalu mencatat pengeluaran, sementara pasangan ternyata lebih boros. Jika perbedaan ini bisa dijembatani, biasanya topik seputar keuangan tak akan menjadi ""duri dalam daging"".  Tak ada salahnya juga menyewa perencana keuangan untuk membantu Anda berdua meraih tujuan finansial keluarga.",2019-08-31
72,"Magnet Asia Masih Kuat untuk Investasi ""Fixed Income""","07/09/2017, 12:17 WIB","- Sebagai sebuah kawasan tujuan investasi, Asia memiliki magnet kuat bagi investor dalam membenamkan modal mereka. Terutama, bagi para investor pasar fixed income.
Direktur Utama PT  Sarana Multigriya Finansial (Persero) Ananta Wiyogo mengungkapkan hal tersebut saat 4th Asian Fixed Income Summit (AFIS) 2017 di Nusa Dua, Bali, Kamis (7/9/2017).
Beberapa magnet itu seperti pembangunan perekonomian berkelanjutan, situasi politik yang relatif stabil, hingga iklim investasi yang cukup baik.
""Belum lagi sumber daya alam yang kaya, situasi demografis yang baik dan pertumbuhan pasar domestik yang berkesinambungan, merupakan potensi investasi yang besar,"" kata Ananta.
Melihat potensi tersebut, ia menambahkan, peranan perusahaan pembiayaan sekunder perlu diperkuat. Terutama dalam menghubungkan negara-negara kawasan Asia melalui kegiatan pembiayaan dan pendanaan pasar modal.
""Banyak produk investasi yang dapat dimanfaatkan oleh investor. Khusus di Indonesia, disematkannya rating investment grade kepada Indonesia tentu akan meningkatkan kepercayaan investor untuk berinvestasi,"" ujanya.
Lebih jauh, Ananta mengatakan, sektor pembiayaan perumahan di Indonesia masih membutuhkan banyak investasi.
Tingginya angka kebutuhan rumah atau backlog yang mencapai 11,4 juta pada tahun 2015 lalu, membuat pemerintah perlu mencari pendanaan tambahan untuk mengatasi kekurangan tersebut
PT  SMF, kata dia, sebagai salah BUMN yang bergerak dalam hal pendanaan perumahan, juga telah menerbitkan Efek Beragun Aset Kredit Pemilikan Rumah (EBA KPR). Sejauh ini, sudah 11 kali sekuritisasi yang diterbitkan dengan nilai Rp 8,1 triliun.
""Kami berharap investor tertarik berinvestasi pada efek yang diterbitkan SMF, baik berupa surat utang korporasi maupun EBA-SP (Efek Berangun Aset Surat Partisipasi),"" tuntas Ananta.",2019-08-31
73,Kerugian Finansial yang Dialami Italia akibat Tak Lolos ke Piala Dunia,"14/11/2017, 20:35 WIB","- Kegagalan  Italia lolos ke Piala Dunia 2018 bukan cuma menimbulkan tragedi olahraga nasional, melainkan juga bencana finansial bagi timnas Negeri Piza tersebut.
Timnas Italia harus mengubur asa tampil pada Piala Dunia 2018 di Rusia.
Daniele De Rossi cs disingkirkan timnas  Swedia pada fase play-off dengan agregat 0-1.
Tiket Italia yang terbakar menuju Rusia disertai hilangnya potensi meraup ratusan miliar rupiah yang bisa diperoleh dari berbagai sektor.
Seperti dikutip BolaSport.com dari Sportmediaset, dana sekiranya 10 juta euro batal masuk kas Federasi Sepak Bola Italia (FIGC) dari sektor kerja sama sponsor, merchandise, dan berbagai bonus.
Kalau dikonversikan, perkiraan dana raib tersebut setara Rp 158 miliar. 
Kerugian paling menohok bagi Italia ialah hangusnya potensi mengeruk kucuran dana dari prize money alias uang hadiah keikutsertaan Piala Dunia 2018.

Menurut data yang diambil BolaSport.com dari situs FIFA, setiap peserta putaran final akan mendapatkan dana kompensasi persiapan 1,5 juta dollar AS.
 

AFP/KOMPAS.com 
                                                    Jejak Italia di Piala Dunia
                                                
Sementara itu, tim peringkat 17-32 alias mereka yang tidak lolos ke fase gugur akan mengantongi masing-masing 8 juta dollar AS.
Adapun sang juara turnamen kebagian prize money 38 juta dollar AS atau setara Rp 514,8 miliar.
Estimasi dana yang melayang itu belum menghitung peluang pemasukan raksasa dari sektor hak siar pertandingan Piala Dunia 2018.


 38 juta dollar AS
 28 juta dollar AS
 24 juta dollar AS
 22 juta dollar AS
 16 juta dollar AS
 12 juta dollar AS
 8 juta dollar AS",2019-08-31
74,Kuasai Seni dan Prinsip Mengelola Uang Ini Jika Ingin Merdeka Secara Finansial,"12/10/2017, 17:00 WIB","Uang memang bukan segalanya, namun banyak hal butuh uang. Karena peran penting ini, Anda pun dituntut untuk bisa mengelola uang dengan baik. Sebab, teolog John Wesley pernah berkata, bijak mengatur uang akan membuat hidup seimbang.
Karena itu, sepanjang kamu memiliki prinsip yang benar dan seimbang soal pengelolaan uang, kamu pasti akan bahagia. Lalu bagaimana caranya? Perencana keuangan Tung Desem Waringin memberikan empat prinsipnya.

Utang adalah musuh kesehatan keuangan. Jika Anda mulai menyepelekannya dan menganggap bahwa berutang kecil di beberapa tempat adalah hal lumrah, Anda akan memiliki kecenderungan untuk terus menambah utang.
Sebaliknya, bila Anda menabung dan berinvestasi di beberapa tempat, meski sedikit, Anda seperti memiliki banyak tabungan. Jadi, ingat, lebih baik menghindari utang dan mulai berinvestasi dan menabung.

Beberapa orang tak tahu seberapa banyak utang mereka. Atau, menyadari kekayaan bersih mereka positif atau negatif. Tung Desem Waringin memberi penyederhanaan. Ketika ingin pergi ke suatu tempat, Anda pasti memiliki titik awal dan tahu alamatnya.
Atau setidaknya, cara untuk pergi ke sana. Apa yang terjadi bila Anda sama sekali tidak tahu sedang ada dimana dan tujuannya? Tentu, tak ada seorangpun bisa menolong sehingga semua orang bisa saja memberi arah yang sembarangan. Jadi, cari tahu tujuan hidup Anda dan di mana posisi Anda saat ini.

Dalam keuangan, bila kamu merasa sulit untuk melakukan pengaturan, mintalah bantuan. Pertimbangkan untuk pergi ke konsultan keuangan untuk membantumu mengatur dan menyusun prioritas anggaran. Atau sekedar minta masukan dari teman yang jago soal keuangan. Ingat, orang sukses selalu punya mentor yang siap memberi masukan dan bantuan.

Ingin beli barang tapi tak mampu membelinya? Kemudian langsung terpikir menambah utang? Bila hal itu terpikir, Anda punya masalah pada pengendalian diri. Tahan desakan tersebut.
Anda harus bisa mengendalikan hidup dan bertanggung jawab atas semua tindakan Anda. Demikian, secara tidak langsung, Anda akan semakin bijak menghadapi permasalahan hidup.
Kebebasan secara finansial bisa menjadi salah satu metode pencarian diri. Salah satunya membebaskan diri dari utang. Hal itu bisa Anda lakukan. Hal terpenting, Anda disiplin dan pandai menentukan prioritas.",2019-08-31
75,Ini Tips Menjalankan Resolusi Finansial pada Tahun Baru,"11/01/2017, 05:00 WIB","— Sudah menjadi keinginan tiap orang untuk membuat resolusi finansial yang lebih dari tahun-tahun sebelumnya, begitu juga pada 2017.
Selalu memiliki rencana yang rapi dan teratur menjadi kunci kesuksesan menjalankan resolusi finansial.
Ya, sebuah rencana akan sangat menentukan kesuksesan kita dalam menjalankan resolusi finansial tiap tahunnya. Tanpa adanya rencana, Anda tentunya akan sangat kesulitan.
Oleh karena itu, kami menghadirkan untuk Anda beberapa tips yang dapat membantu menjalankan resolusi finansial.

Menabung dan terus menyimpan uang ke rekening tabungan secara rutin menjadi resolusi finansial tiap orang. Namun, tak banyak yang kesulitan untuk menyisihkan uang guna mendapatkan keuntungan lebih ke depannya.
Umumnya hasrat untuk menabung terdapat pada anak-anak muda usia 18-24 tahun. Mereka memiliki keinginan untuk menghabiskan uang mengunjungi tempat tempat wisata serta jalan-jalan hingga mereka harus menabung untuk mewujudkan impian tersebut.
Anda yang ingin belajar menabung secara rutin, cobalah berhemat dan tidak menghabiskan uang untuk mewujudkan keinginan untuk menabung.
Apabila Anda termasuk ke dalam golongan individu yang boros dan pelupa, cobalah untuk menjadwalkan tiap pengeluaran Anda dengan teratur. Penjadwalan tersebut akan membantu Anda menghemat, dan sisanya bisa disisihkan untuk menjadi tabungan ke depannya.",2019-08-31
